# GLP-1 Watchdog Open Provider Dataset — CC BY 4.0 (attribution: glp1watchdog.com) — docs: https://glp1watchdog.com/data
rank,name,slug,type,rating_out_of_10,rating_label,price_from,semaglutide_usd_month,tirzepatide_usd_month,program_fee_usd_month,medications,fda_approved,insurance_accepted,oral_option,ships_all_50_states,states_covered,consultation_fee,free_shipping,cancel_anytime,best_for,review_url
1,Embody,embody,compounded,9.4,Excellent,$69,69,119,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,48,Included,true,true,Users looking for the lowest entry price with round-the-clock specialist support,https://glp1watchdog.com/reviews/embody
2,TrimRx,trim-rx,compounded,9.3,Excellent,$179,179,259,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,45,Free,true,true,Users who want personalized doctor consultations with transparent all-inclusive pricing,https://glp1watchdog.com/reviews/trim-rx
3,Trimi,trimi,compounded,9.2,Great,$99,99,125,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,47,Included,true,true,Cash-pay users who want the cheapest tirzepatide from a US-licensed program,https://glp1watchdog.com/reviews/trimi
4,Oak Longevity,oak-longevity,compounded,8.9,Excellent,$167,167,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,true,50,Included,true,true,Budget-conscious users who want the lowest price with health coaching and no membership fees,https://glp1watchdog.com/reviews/oak-longevity
5,Gala Health,gala-health,compounded,8.9,Excellent,$179,,,,Semaglutide; Tirzepatide,false,false,false,true,50,Included,true,true,"Users wanting a fast, streamlined onboarding experience with personalized medical oversight",https://glp1watchdog.com/reviews/gala-health
6,MEDVi,medvi,compounded,8.9,Excellent,$179,,,,Compounded Semaglutide (Injectable); Compounded Semaglutide (Oral),false,false,true,false,49,Included,true,true,Users who want a low entry price with oral and injectable compounded options,https://glp1watchdog.com/reviews/medvi
7,SkinnyRx,skinnyrx,compounded,8.9,Excellent,$199,,,,Compounded Semaglutide (Injectable); Compounded Semaglutide (Sublingual); Compounded Tirzepatide (Injectable); Compounded Tirzepatide (Tablets),false,false,true,false,48,Included,true,true,"Users who want multiple delivery forms (oral, sublingual, injectable) for their GLP-1",https://glp1watchdog.com/reviews/skinnyrx
8,Wellmedr,wellmedr,compounded,8.9,Excellent,$199,,,,Compounded Semaglutide; Compounded Tirzepatide; NAD+ Microdose,false,false,false,false,48,Included,true,true,"Users who want a LegitScript-certified program with a money-back guarantee and flat, no-escalation pricing",https://glp1watchdog.com/reviews/wellmedr
9,SnagRx,snagrx,compounded,8.9,Excellent,$69,69,119,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,48,Included,true,true,Users who want the lowest locked-in price that never increases as their dose goes up,https://glp1watchdog.com/reviews/snagrx
10,ShedRx,shedrx,both,8.8,Very Good,$159,159,239,,Compounded Semaglutide; Compounded Tirzepatide; Wegovy; Zepbound; Foundayo (oral orforglipron),true,false,true,true,50,Included,true,false,Users who want multiple medication delivery forms and a money-back weight loss guarantee,https://glp1watchdog.com/reviews/shedrx
11,Sprout Health,sprout-health,both,8.8,Very Good,$199,249,299,,Semaglutide; Tirzepatide,true,false,false,true,50,Included,true,true,Users looking for a reliable mid-range option with proven conversion,https://glp1watchdog.com/reviews/sprout-health
12,Bodybuilding.com Health+,bodybuilding-com,compounded,8.7,Great,$141.50,141.5,174.67,,Compounded Semaglutide; Compounded Semaglutide (Microdose); Compounded Tirzepatide; NAD+,false,false,false,false,47,Included,true,true,Fitness-minded users who want GLP-1 plus muscle-preservation coaching from a familiar brand,https://glp1watchdog.com/reviews/bodybuilding-com
13,Direct Meds GLP-1,direct-meds,compounded,8.5,Very Good,$249,249,297,,Compounded Semaglutide (Sublingual); Compounded Semaglutide (Injectable); Compounded Tirzepatide,false,false,true,false,45,Included,true,true,"Users wanting simple, all-inclusive pricing without insurance",https://glp1watchdog.com/reviews/direct-meds
14,bmiMD,bmimd,compounded,8.4,Great,$119,119,179,,Compounded Semaglutide; Compounded Tirzepatide; NAD+; B-12,false,false,false,false,48,Included,true,true,"Budget-first users who want an established, high-volume $119 compounded program",https://glp1watchdog.com/reviews/bmimd
15,Wellorithm,wellorithm,compounded,8.4,Great,$199,,,,Compounded Semaglutide; Compounded Tirzepatide; Oral Semaglutide; NAD+,false,false,true,false,47,Included,true,true,Users who want oral GLP-1 options or to pay with HSA/FSA funds,https://glp1watchdog.com/reviews/wellorithm
16,Care Bare Rx,care-bare-rx,compounded,8.4,Very Good,$199,,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,true,50,Included,true,true,"Users who want a multi-service telehealth platform covering weight loss, hair, and wellness",https://glp1watchdog.com/reviews/care-bare-rx
17,Mochi Health,mochi-health,both,8.4,Excellent,$79,,,,Compounded Semaglutide; Compounded Tirzepatide; Wegovy; Ozempic; Zepbound; Mounjaro,true,true,false,true,50,$0,true,true,people who want board-certified obesity-medicine care and the option to bill insurance for brand-name GLP-1s,https://glp1watchdog.com/reviews/mochi-health
18,Enhance MD,enhance-md,both,8.3,Good,$212,212,280,,Semaglutide; Tirzepatide; NAD+,true,false,false,true,50,Included,true,true,Budget-conscious users interested in combination therapies,https://glp1watchdog.com/reviews/enhance-md
19,Strut Health,strut-health,compounded,8.2,Good,$129,129,,,Compounded Semaglutide (Injectable); Compounded Semaglutide (Oral Lozenge),false,false,true,false,49,Free,true,true,Users who prefer a needle-free oral semaglutide option at a reasonable price,https://glp1watchdog.com/reviews/strut-health
20,GobyMeds,gobymeds,both,8.2,Very Good,$99,,,,Compounded Semaglutide; Compounded Tirzepatide; Wegovy; Zepbound,true,false,false,false,47,$0,true,true,budget-focused users who want low-cost compounded GLP-1 with no membership fees,https://glp1watchdog.com/reviews/gobymeds
21,Noom Med,noom,both,8,Very Good,$249,,,,Compounded Semaglutide; Compounded Tirzepatide; Wegovy; Zepbound; Ozempic,true,true,true,false,47,$0,true,false,people who want GLP-1 medication bundled with a structured behavior-change app and coaching,https://glp1watchdog.com/reviews/noom
22,TMates,tmates,compounded,7.8,Good,$158,158,167,,Compounded Semaglutide; Compounded Tirzepatide; Phentermine,false,true,false,false,45,Included,true,true,Users with insurance who want a coached GLP-1 program with multiple medication options,https://glp1watchdog.com/reviews/tmates
23,Amble,amble,compounded,7.6,Good,$135,135,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,true,50,Included,true,false,cash-pay buyers who want compounded semaglutide with no membership fee and will prepay a 3- or 6-month plan they cannot refund,https://glp1watchdog.com/reviews/amble
24,MangoRx,mango-rx,compounded,7.5,Good,$299,,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,45,Free,true,true,Users who want a multi-service telehealth platform covering weight loss and men's health,https://glp1watchdog.com/reviews/mango-rx
25,Breeze Meds,breeze-meds,compounded,7.4,Good,$199,,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,45,Included,true,true,"Users who want a simple, no-hassle GLP-1 enrollment with fast delivery",https://glp1watchdog.com/reviews/breeze-meds
